service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6574,1,1,1,1,1,1,1,20260726,20260801
6578,1,1,1,1,1,1,1,20260725,20260731
6584,0,0,0,1,0,1,0,20260725,20260731
6586,1,1,1,1,1,1,1,20260802,20260808
6590,1,1,1,1,1,1,1,20260801,20260807
6596,0,0,0,1,0,1,0,20260801,20260807
6598,1,1,1,1,1,1,1,20260809,20260815
6602,1,1,1,1,1,1,1,20260808,20260814
6608,0,0,0,1,0,1,0,20260808,20260814
6610,1,1,1,1,1,1,1,20260816,20260822
6614,1,1,1,1,1,1,1,20260815,20260821
6620,0,0,0,1,0,1,0,20260815,20260821
6622,1,1,1,1,1,1,1,20260823,20260830
6626,1,1,1,1,1,1,1,20260822,20260830
6632,0,0,0,1,0,1,0,20260822,20260830
6634,1,1,1,1,1,1,1,20260704,20260830
6642,0,0,0,0,1,1,1,20260704,20260830
6644,0,0,0,1,0,0,0,20260820,20260820
6646,1,1,1,1,0,1,1,20260704,20260818
6651,0,0,0,0,1,0,0,20260704,20260818
6656,1,1,1,1,1,1,1,20260819,20260830
6661,1,1,1,0,1,1,1,20260704,20260818
6664,0,0,0,1,0,0,0,20260704,20260818
6704,0,0,0,1,1,1,1,20260704,20260830
6729,1,1,1,1,1,1,1,20260719,20260731
6736,1,1,1,1,1,1,1,20260718,20260731
6737,0,0,0,0,0,1,0,20260801,20260801
6744,1,1,1,1,1,1,1,20260802,20260814
6751,1,1,1,1,1,1,1,20260801,20260814
6752,0,0,0,0,0,1,0,20260815,20260815
6759,1,1,1,1,1,1,1,20260816,20260830
6766,1,1,1,1,1,1,1,20260815,20260830
6772,1,1,1,1,1,1,1,20260719,20260801
6777,1,1,1,1,1,1,1,20260802,20260815
6794,1,1,1,1,1,0,1,20260719,20260731
6795,1,1,1,1,0,1,1,20260718,20260731
6799,0,0,0,0,1,0,0,20260731,20260731
6800,0,1,0,1,0,1,0,20260718,20260731
6802,1,1,1,1,1,0,1,20260802,20260814
6803,1,1,1,1,0,1,1,20260801,20260814
6804,0,0,0,0,0,1,0,20260808,20260808
6805,0,0,0,0,1,0,0,20260807,20260807
6807,0,0,0,0,1,0,0,20260814,20260814
6808,0,1,0,1,0,1,0,20260801,20260814
6810,1,1,1,1,1,1,1,20260816,20260821
6811,1,1,1,1,1,1,1,20260815,20260820
6812,0,0,0,0,0,1,0,20260822,20260822
6813,0,0,0,0,1,0,0,20260821,20260821
6816,0,1,0,1,0,1,0,20260815,20260830
6842,1,1,1,1,1,0,1,20260726,20260731
6843,1,1,1,1,0,1,1,20260726,20260801
6850,1,1,1,1,1,0,1,20260802,20260807
6851,1,1,1,1,0,1,1,20260802,20260808
6852,1,1,1,1,0,1,1,20260801,20260806
6858,1,1,1,1,1,0,1,20260809,20260814
6859,1,1,1,1,0,1,1,20260809,20260815
6860,1,1,1,1,0,1,1,20260808,20260813
6866,1,1,1,1,1,0,1,20260816,20260821
6867,1,1,1,1,0,1,1,20260816,20260822
6868,1,1,1,1,0,1,1,20260815,20260820
6890,0,1,0,1,0,0,0,20260704,20260830
6892,0,1,0,1,0,0,0,20260720,20260802
6893,0,1,0,1,0,0,0,20260803,20260830
6897,0,0,1,0,0,0,1,20260718,20260731
6900,0,0,1,0,0,0,1,20260801,20260814
6903,0,0,1,0,0,0,1,20260815,20260820
6905,0,0,1,0,1,0,1,20260822,20260830
6907,0,0,0,1,1,1,1,20260720,20260802
6908,0,0,0,1,1,1,1,20260803,20260830
6920,1,0,1,1,1,1,1,20260720,20260731
6922,0,0,0,0,0,0,1,20260802,20260802
6923,1,0,1,1,1,1,1,20260803,20260814
6925,1,0,1,1,1,1,1,20260816,20260830
6926,0,1,0,0,0,0,0,20260824,20260830
