service_id,date,exception_type
20260328,20260328,1
20260329,20260329,1
20260403,20260403,1
20260404,20260404,1
20260405,20260405,1
20260406,20260406,1
20260411,20260411,1
20260412,20260412,1
20260418,20260418,1
20260419,20260419,1
20260425,20260425,1
20260426,20260426,1
20260501,20260501,1
20260502,20260502,1
20260503,20260503,1
20260504,20260504,1
20260505,20260505,1
20260506,20260506,1
20260507,20260507,1
20260508,20260508,1
20260509,20260509,1
20260510,20260510,1
20260511,20260511,1
20260512,20260512,1
20260513,20260513,1
20260514,20260514,1
20260515,20260515,1
20260516,20260516,1
20260517,20260517,1
20260518,20260518,1
20260519,20260519,1
20260520,20260520,1
20260521,20260521,1
20260522,20260522,1
20260523,20260523,1
20260524,20260524,1
20260525,20260525,1
20260526,20260526,1
20260527,20260527,1
20260528,20260528,1
20260529,20260529,1
20260530,20260530,1
20260531,20260531,1
20260601,20260601,1
20260602,20260602,1
20260603,20260603,1
20260604,20260604,1
20260605,20260605,1
20260606,20260606,1
20260607,20260607,1
20260608,20260608,1
20260609,20260609,1
20260610,20260610,1
20260611,20260611,1
20260612,20260612,1
20260613,20260613,1
20260614,20260614,1
20260615,20260615,1
20260616,20260616,1
20260617,20260617,1
20260618,20260618,1
20260619,20260619,1
20260620,20260620,1
20260621,20260621,1
20260622,20260622,1
20260623,20260623,1
20260624,20260624,1
20260625,20260625,1
20260626,20260626,1
20260627,20260627,1
20260628,20260628,1
20260629,20260629,1
20260630,20260630,1
20260701,20260701,1
20260702,20260702,1
20260703,20260703,1
