route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,BAHART,"","Balatonfüred-Siófok",,4,,,
102,BAHART,"","Balatonföldvár-Tihany",,4,,,
103,BAHART,"","Tihany--Balatonföldvár",,4,,,
104,BAHART,"","Tihany-Balatonfüred",,4,,,
105,BAHART,"","Balatonfüred-Tihany",,4,,,
106,BAHART,"","1 órás sétahajó",,4,,,
107,BAHART,"","Naplemente sétahajó",,4,,,
109,BAHART,"","Naplemente sétahajó",,4,,,
111,BAHART,"","Naplemente sétahajó",,4,,,
112,BAHART,"","1 órás sétahajó",,4,,,
113,BAHART,"","Naplemente sétahajó",,4,,,
115,BAHART,"","Naplemente sétahajó",,4,,,
117,BAHART,"","Naplemente sétahajó",,4,,,
118,BAHART,"","1 órás sétahajó",,4,,,
119,BAHART,"","Naplemente sétahajó",,4,,,
120,BAHART,"","1 órás sétahajó",,4,,,
121,BAHART,"","Naplemente sétahajó",,4,,,
122,BAHART,"","Romantikus Badacsony sétahajó",,4,,,
125,BAHART,"","1 órás sétahajó",,4,,,
127,BAHART,"","1 órás sétahajó",,4,,,
128,BAHART,"","Naplemente sétahajó",,4,,,
130,BAHART,"","Naplemente sétahajó",,4,,,
133,BAHART,"","1 órás sétahajó",,4,,,
134,BAHART,"","Naplemente sétahajó",,4,,,
135,BAHART,"","1 órás sétahajó",,4,,,
136,BAHART,"","Naplemente sétahajó",,4,,,
137,BAHART,"","1 órás sétahajó",,4,,,
138,BAHART,"","Naplemente sétahajó",,4,,,
140,BAHART,"","Gyerekhajó",,4,,,
143,BAHART,"","Gyerekhajó",,4,,,
144,BAHART,"","Gyerekhajó",,4,,,
147,BAHART,"","Gyerekhajó",,4,,,
148,BAHART,"","Bulihajó",,4,,,
149,BAHART,"","Bulihajó",,4,,,
15,BAHART,"","Tihany-Balatonfüred-Siófok",,4,,,
150,BAHART,"","Bulihajó",,4,,,
152,BAHART,"","Bulihajó",,4,,,
154,BAHART,"","Bulihajó",,4,,,
155,BAHART,"","Bulihajó",,4,,,
157,BAHART,"","Bulihajó",,4,,,
159,BAHART,"","Bulihajó",,4,,,
173,BAHART,"","Tűzijátéknéző sétahajó",,4,,,
174,BAHART,"","Tűzijátéknéző sétahajó",,4,,,
175,BAHART,"","Tűzijátéknéző sétahajó",,4,,,
176,BAHART,"","Tűzijátéknéző bulihajó",,4,,,
177,BAHART,"","Tűzijátéknéző bulihajó",,4,,,
178,BAHART,"","Tűzijátéknéző bulihajó",,4,,,
187,BAHART,"","Balatonboglár-Badacsony",,4,,,
188,BAHART,"","Badacsony-Balatonboglár",,4,,,
189,BAHART,"","Romantikus Badacsony sétahajó",,4,,,
19,BAHART,"","Fonyód-Badacsony",,4,,,
190,BAHART,"","Gyerekhajó",,4,,,
20,BAHART,"","Badacsony-Fonyód",,4,,,
205,BAHART,"","Tűzijátéknéző sétahajó",,4,,,
210,BAHART,"","Kulthajó",,4,,,
211,BAHART,"","Révfülöp-Balatonlelle-Balatonboglár",,4,,,
218,BAHART,"","Chill hajó",,4,,,
228,BAHART,"","Szalay sétahajójárat",,4,,,
229,BAHART,"","Keszthely-B.györök-Badacsony",,4,,,
230,BAHART,"","Badacsony-B.györök-Keszthely",,4,,,
27,BAHART,"","B.Szemes-B.Földvár-Tihany",,4,,,
29,BAHART,"","Tihany-B.Szemes",,4,,,
3,BAHART,"","Balatonboglár-Révfülöp",,4,,,
31,BAHART,"","B.Almádi-Alsóörs-Tihany",,4,,,
33,BAHART,"","Tihany-Alsóörs-B.Almádi",,4,,,
35,BAHART,"","Keszthely-B.Györök-Szigliget-Badacsony",,4,,,
38,BAHART,"","Badacsony-Szigliget-B.Györök-Keszthely",,4,,,
39,BAHART,"","B.Földvár-Tihany-B.Füred",,4,,,
4,BAHART,"","Révfülöp-Balatonboglár",,4,,,
40,BAHART,"","B.Füred-Tihany-B.Földvár",,4,,,
43,BAHART,"","B.Lelle-B.Boglár-Badacsony",,4,,,
44,BAHART,"","Badacsony-B.Boglár-B.Lelle",,4,,,
45,BAHART,"","Balatonmária-Balatongyörök",,4,,,
46,BAHART,"","Balatongyörök-Balatonmária",,4,,,
5,BAHART,"","Siófok-Tihany",,4,,,
6,BAHART,"","Tihany-Siófok",,4,,,
79,BAHART,"","Balatonmária-B.Györök-Szigliget-Badacsony",,4,,,
81,BAHART,"","Badacsony-Szigliget-B.Györök-Balatonmária",,4,,,
9,BAHART,"","Siófok-Balatonfüred",,4,,,
91,BAHART,"","Badacsony-Szigliget",,4,,,
92,BAHART,"","Szigliget-Badacsony",,4,,,
95,BAHART,"","Siófok-Balatonfüred-Tihany",,4,,,
96,BAHART,"","Tihany-Balatonfüred-Siófok",,4,,,
97,BAHART,"","Siófok-Tihany-Balatonfüred",,4,,,
98,BAHART,"","Balatonfüred-Tihany-Siófok",,4,,,
99,BAHART,"","Balatonfüred-Tihany-Siófok",,4,,,
