shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,46.951812,17.894916,1,
1,46.93316,17.9746,2,
1,46.92458,18.01112,3,
1,46.91789,18.03228,4,
1,46.91529,18.0382,5,
1,46.91256,18.04282,6,
1,46.91113,18.04419,7,
1,46.90987,18.04511,8,
1,46.90898,18.04578,9,
1,46.908834,18.04617,10,
2,46.908834,18.04617,1,
2,46.909,18.04584,2,
2,46.9093,18.0456,3,
2,46.90996,18.0451,4,
2,46.91116,18.04425,5,
2,46.91259,18.04288,6,
2,46.91562,18.03848,7,
2,46.91822,18.03255,8,
2,46.92486,18.0115,9,
2,46.93344,17.97428,10,
2,46.951812,17.894916,11,
3,46.70622,17.381575,1,
3,46.70869,17.38184,2,
3,46.70934,17.38192,3,
3,46.70965,17.382,4,
3,46.70996,17.38225,5,
3,46.71027,17.38273,6,
3,46.71042,17.38286,7,
3,46.71059,17.38281,8,
3,46.71098,17.38248,9,
3,46.71499,17.37975,10,
3,46.7185,17.37732,11,
3,46.7292,17.37005,12,
3,46.750171,17.355737,13,
3,46.750171,17.355737,14,
3,46.75002,17.35572,15,
3,46.74997,17.35587,16,
3,46.75007,17.3562,17,
3,46.75024,17.35658,18,
3,46.75042,17.35738,19,
3,46.7508,17.35903,20,
3,46.75153,17.36227,21,
3,46.75301,17.36881,22,
3,46.75502,17.37411,23,
3,46.75707,17.37934,24,
3,46.76579,17.40183,25,
3,46.77427,17.4236,26,
3,46.7785,17.4345,27,
3,46.78067,17.44009,28,
3,46.78161,17.44256,29,
3,46.78223,17.44421,30,
3,46.78247,17.44479,31,
3,46.78298,17.44513,32,
3,46.78351,17.44503,33,
3,46.783757,17.444634,34,
3,46.783757,17.444634,35,
3,46.78287,17.4464,36,
3,46.78239,17.45222,37,
3,46.78169,17.46054,38,
3,46.78049,17.47676,39,
3,46.77951,17.48775,40,
3,46.78057,17.50225,41,
3,46.78477,17.50976,42,
3,46.78589,17.51028,43,
3,46.78646,17.51055,44,
3,46.78688,17.51018,45,
3,46.787073,17.509071,46,
4,46.70622,17.381575,1,
4,46.70869,17.38184,2,
4,46.70934,17.38192,3,
4,46.70965,17.382,4,
4,46.70996,17.38225,5,
4,46.71027,17.38273,6,
4,46.71042,17.38286,7,
4,46.71059,17.38281,8,
4,46.71098,17.38248,9,
4,46.71499,17.37975,10,
4,46.7185,17.37732,11,
4,46.7292,17.37005,12,
4,46.750171,17.355737,13,
5,46.75034,17.55527,1,
5,46.75327,17.55293,2,
5,46.75568,17.55044,3,
5,46.76095,17.54499,4,
5,46.76589,17.53894,5,
5,46.77085,17.53251,6,
5,46.7752,17.52718,7,
5,46.77917,17.52118,8,
5,46.78305,17.5153,9,
5,46.78578,17.51148,10,
5,46.786713,17.509414,11,
6,46.792705,17.690994,1,
6,46.7929,17.69062,2,
6,46.79323,17.69033,3,
6,46.79353,17.68952,4,
6,46.79373,17.68817,5,
6,46.79358,17.68561,6,
6,46.7924,17.67831,7,
6,46.78986,17.66712,8,
6,46.78683,17.65189,9,
6,46.78319,17.64506,10,
6,46.78272,17.64471,11,
6,46.78228,17.64514,12,
6,46.78222,17.64636,13,
6,46.78192,17.64678,14,
6,46.781077,17.647968,15,
6,46.781077,17.647968,16,
6,46.78215,17.64639,17,
6,46.78248,17.64387,18,
6,46.7828,17.63984,19,
6,46.78292,17.63023,20,
6,46.78327,17.61255,21,
6,46.7843,17.57877,22,
6,46.786846,17.509511,23,
7,46.780882,17.648183,1,
7,46.78231,17.64615,2,
7,46.78243,17.6449,3,
7,46.78296,17.6444,4,
7,46.78428,17.64438,5,
7,46.7916,17.64168,6,
7,46.80382,17.63713,7,
7,46.825206,17.62916,8,
8,46.825206,17.62916,1,
8,46.81876,17.62238,2,
8,46.81474,17.59199,3,
8,46.81095,17.57891,4,
8,46.80886,17.57324,5,
8,46.806604,17.571684,6,
8,46.806604,17.571684,7,
8,46.80595,17.5723,8,
8,46.80557,17.57328,9,
8,46.80566,17.57453,10,
8,46.80578,17.5759,11,
8,46.81101,17.5932,12,
8,46.818,17.62285,13,
8,46.825206,17.62916,14,
9,46.786713,17.509414,1,
9,46.78429,17.51201,2,
9,46.79393,17.54007,3,
9,46.802491,17.569238,4,
9,46.802491,17.569238,5,
9,46.79329,17.5397,6,
9,46.7878,17.5247,7,
9,46.78471,17.51236,8,
9,46.786713,17.509414,9,
10,46.825206,17.62916,1,
10,46.80306,17.63727,2,
10,46.78719,17.64311,3,
10,46.78424,17.64427,4,
10,46.78294,17.64437,5,
10,46.78243,17.6449,6,
10,46.78231,17.64627,7,
10,46.780882,17.648183,8,
11,46.90962,18.04558,1,
11,46.90955,18.04531,2,
11,46.91113,18.04423,3,
11,46.91228,18.04313,4,
11,46.91292,18.04221,5,
11,46.91905,18.03483,6,
11,46.938488,18.044439,7,
11,46.938488,18.044439,8,
11,46.91723,18.03924,9,
11,46.91255,18.04287,10,
11,46.91113,18.04425,11,
11,46.90954,18.04525,12,
11,46.90962,18.04558,13,
12,46.90962,18.04558,1,
12,46.90955,18.04531,2,
12,46.91113,18.04423,3,
12,46.91228,18.04313,4,
12,46.91292,18.04221,5,
12,46.91905,18.03483,6,
12,46.938488,18.044439,7,
12,46.938488,18.044439,8,
12,46.91723,18.03924,9,
12,46.91255,18.04287,10,
12,46.91113,18.04425,11,
12,46.90954,18.04525,12,
12,46.90962,18.04558,13,
13,46.90962,18.04558,1,
13,46.90934,18.04525,2,
13,46.91115,18.04428,3,
13,46.91254,18.04294,4,
13,46.91494,18.03822,5,
13,46.91746,18.03204,6,
13,46.92408,18.01101,7,
13,46.92959,17.98251,8,
13,46.93426,17.94802,9,
13,46.93543,17.92768,10,
13,46.93531,17.91918,11,
13,46.93508,17.91498,12,
13,46.933794,17.912339,13,
13,46.933794,17.912339,14,
13,46.93232,17.91395,15,
13,46.93185,17.9179,16,
13,46.93144,17.92777,17,
13,46.9298,17.94768,18,
13,46.92628,17.98127,19,
13,46.92189,18.01024,20,
13,46.91728,18.03101,21,
13,46.91246,18.04294,22,
13,46.9111,18.0443,23,
13,46.90943,18.04528,24,
13,46.90962,18.04558,25,
14,46.855878,17.880478,1,
14,46.85624,17.88065,2,
14,46.8572,17.88007,3,
14,46.85763,17.88013,4,
14,46.85832,17.88029,5,
14,46.85948,17.87997,6,
14,46.88894,17.87031,7,
14,46.88894,17.87031,8,
14,46.88859,17.87003,9,
14,46.88814,17.87012,10,
14,46.88676,17.87057,11,
14,46.88188,17.87201,12,
14,46.87258,17.875,13,
14,46.86413,17.87776,14,
14,46.85837,17.88015,15,
14,46.85722,17.88005,16,
14,46.85619,17.88063,17,
14,46.855878,17.880478,18,
15,46.855878,17.880478,1,
15,46.85624,17.88065,2,
15,46.8572,17.88007,3,
15,46.85763,17.88013,4,
15,46.85832,17.88029,5,
15,46.85948,17.87997,6,
15,46.88894,17.87031,7,
15,46.88894,17.87031,8,
15,46.88859,17.87003,9,
15,46.88814,17.87012,10,
15,46.88676,17.87057,11,
15,46.88188,17.87201,12,
15,46.87258,17.875,13,
15,46.86413,17.87776,14,
15,46.85837,17.88015,15,
15,46.85722,17.88005,16,
15,46.85619,17.88063,17,
15,46.855878,17.880478,18,
16,46.81467,17.767513,1,
16,46.81496,17.76781,2,
16,46.81539,17.7677,3,
16,46.81575,17.76676,4,
16,46.81774,17.76594,5,
16,46.82174,17.76553,6,
16,46.83077,17.7654,7,
16,46.83942,17.76309,8,
16,46.84366,17.76165,9,
16,46.84551,17.76077,10,
16,46.84626,17.76017,11,
16,46.846434,17.759144,12,
16,46.846434,17.759144,13,
16,46.8463,17.75811,14,
16,46.84578,17.75764,15,
16,46.84516,17.75712,16,
16,46.84442,17.75729,17,
16,46.84055,17.75815,18,
16,46.8306,17.76098,19,
16,46.81774,17.76575,20,
16,46.81576,17.76673,21,
16,46.81538,17.76775,22,
16,46.81498,17.76783,23,
16,46.81467,17.767513,24,
17,46.792448,17.69115,1,
17,46.79257,17.69083,2,
17,46.79321,17.69033,3,
17,46.79406,17.68848,4,
17,46.81483,17.68723,5,
17,46.82581,17.68361,6,
17,46.83039,17.68087,7,
17,46.8318,17.67932,8,
17,46.832506,17.676483,9,
17,46.832506,17.676483,10,
17,46.83098,17.67438,11,
17,46.82922,17.67438,12,
17,46.82423,17.6761,13,
17,46.81405,17.68132,14,
17,46.79408,17.68842,15,
17,46.79319,17.69027,16,
17,46.79255,17.69082,17,
17,46.792448,17.69115,18,
18,46.792448,17.69115,1,
18,46.79257,17.69083,2,
18,46.79321,17.69033,3,
18,46.79406,17.68848,4,
18,46.81483,17.68723,5,
18,46.82581,17.68361,6,
18,46.83039,17.68087,7,
18,46.8318,17.67932,8,
18,46.832506,17.676483,9,
18,46.832506,17.676483,10,
18,46.83098,17.67438,11,
18,46.82922,17.67438,12,
18,46.82423,17.6761,13,
18,46.81405,17.68132,14,
18,46.79408,17.68842,15,
18,46.79319,17.69027,16,
18,46.79255,17.69082,17,
18,46.792448,17.69115,18,
19,46.792705,17.690994,1,
19,46.79289,17.69054,2,
19,46.79322,17.69025,3,
19,46.79384,17.68899,4,
19,46.7949,17.68763,5,
19,46.79714,17.68448,6,
19,46.80128,17.67757,7,
19,46.80968,17.66396,8,
19,46.824901,17.635252,9,
19,46.824901,17.635252,10,
19,46.80873,17.66256,11,
19,46.8003,17.67659,12,
19,46.79629,17.68369,13,
19,46.79438,17.68728,14,
19,46.79378,17.68897,15,
19,46.7932,17.69022,16,
19,46.79288,17.69053,17,
19,46.792705,17.690994,18,
20,46.792705,17.690994,1,
20,46.79289,17.69054,2,
20,46.79322,17.69025,3,
20,46.79384,17.68899,4,
20,46.7949,17.68763,5,
20,46.79714,17.68448,6,
20,46.80128,17.67757,7,
20,46.80968,17.66396,8,
20,46.824901,17.635252,9,
20,46.824901,17.635252,10,
20,46.80873,17.66256,11,
20,46.8003,17.67659,12,
20,46.79629,17.68369,13,
20,46.79438,17.68728,14,
20,46.79378,17.68897,15,
20,46.7932,17.69022,16,
20,46.79288,17.69053,17,
20,46.792705,17.690994,18,
23,46.780882,17.648183,1,
23,46.78227,17.64624,2,
23,46.7824,17.63936,3,
23,46.78251,17.62597,4,
23,46.78284,17.60044,5,
23,46.7816,17.57301,6,
23,46.78016,17.56233,7,
23,46.77943,17.55804,8,
23,46.778304,17.555054,9,
23,46.778304,17.555054,10,
23,46.77833,17.55639,11,
23,46.7787,17.55836,12,
23,46.78012,17.57347,13,
23,46.7826,17.60042,14,
23,46.78234,17.62526,15,
23,46.78221,17.64466,16,
23,46.78221,17.64625,17,
23,46.780882,17.648183,18,
24,46.780882,17.648183,1,
24,46.78227,17.64624,2,
24,46.7824,17.63936,3,
24,46.78251,17.62597,4,
24,46.78284,17.60044,5,
24,46.7816,17.57301,6,
24,46.78016,17.56233,7,
24,46.77943,17.55804,8,
24,46.778304,17.555054,9,
24,46.778304,17.555054,10,
24,46.77833,17.55639,11,
24,46.7787,17.55836,12,
24,46.78012,17.57347,13,
24,46.7826,17.60042,14,
24,46.78234,17.62526,15,
24,46.78221,17.64466,16,
24,46.78221,17.64625,17,
24,46.780882,17.648183,18,
25,46.780507,17.648607,1,
25,46.78069,17.64805,2,
25,46.7815,17.64733,3,
25,46.78222,17.64624,4,
25,46.78248,17.64361,5,
25,46.78495,17.59941,6,
25,46.778304,17.555054,7,
25,46.778304,17.555054,8,
25,46.77803,17.55583,9,
25,46.77821,17.55838,10,
25,46.77937,17.57222,11,
25,46.78223,17.60175,12,
25,46.78211,17.62664,13,
25,46.78245,17.63964,14,
25,46.78226,17.64614,15,
25,46.78101,17.64787,16,
25,46.780507,17.648607,17,
26,46.750194,17.555387,1,
26,46.75018,17.55521,2,
26,46.75325,17.55288,3,
26,46.75415,17.55192,4,
26,46.75807,17.54704,5,
26,46.76174,17.54181,6,
26,46.76406,17.53782,7,
26,46.76562,17.53421,8,
26,46.76715,17.53043,9,
26,46.76841,17.52643,10,
26,46.77108,17.51763,11,
26,46.77312,17.5084,12,
26,46.77428,17.49927,13,
26,46.77462,17.49514,14,
26,46.77465,17.49278,15,
26,46.774097,17.491089,16,
26,46.774097,17.491089,17,
26,46.77323,17.49221,18,
26,46.77264,17.49431,19,
26,46.77208,17.49813,20,
26,46.77038,17.50716,21,
26,46.76538,17.5295,22,
26,46.76129,17.54083,23,
26,46.75782,17.54692,24,
26,46.75324,17.55283,25,
26,46.75018,17.55519,26,
26,46.750194,17.555387,27,
27,46.750194,17.555387,1,
27,46.75018,17.55521,2,
27,46.75325,17.55288,3,
27,46.75415,17.55192,4,
27,46.75807,17.54704,5,
27,46.76174,17.54181,6,
27,46.76406,17.53782,7,
27,46.76562,17.53421,8,
27,46.76715,17.53043,9,
27,46.76841,17.52643,10,
27,46.77108,17.51763,11,
27,46.77312,17.5084,12,
27,46.77428,17.49927,13,
27,46.77462,17.49514,14,
27,46.77465,17.49278,15,
27,46.774097,17.491089,16,
27,46.774097,17.491089,17,
27,46.77323,17.49221,18,
27,46.77264,17.49431,19,
27,46.77208,17.49813,20,
27,46.77038,17.50716,21,
27,46.76538,17.5295,22,
27,46.76129,17.54083,23,
27,46.75782,17.54692,24,
27,46.75324,17.55283,25,
27,46.75018,17.55519,26,
27,46.750194,17.555387,27,
28,46.70622,17.381575,1,
28,46.70964,17.38198,2,
28,46.70997,17.38225,3,
28,46.71022,17.38268,4,
28,46.71037,17.38285,5,
28,46.71051,17.38286,6,
28,46.7333,17.3888,7,
28,46.761809,17.395803,8,
28,46.761809,17.395803,9,
28,46.7333,17.3895,10,
