stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
50,,"Siófok","",46.908437,18.046312,,,1,,,,,0
50_0,,"Siófok központi telep","",46.908737,18.045182,,,0,50,,,,0
50_1,,"Siófok 1. hajóállás","",46.908665,18.046293,,,0,50,,,,1
50_-1,,"Siófok központi telep - tankoló","",46.909089,18.044591,,,0,50,,,,-1
50_10,,"Siófok 9/B. hajóállás","",46.910547,18.044913,,,0,50,,,,10
50_2,,"Siófok 2. hajóállás","",46.908834,18.04617,,,0,50,,,,2
50_3,,"Siófok 3. hajóállás","",46.908981,18.046052,,,0,50,,,,3
50_4,,"Siófok 4. hajóállás","",46.909142,18.045934,,,0,50,,,,4
50_5,,"Siófok 5. hajóállás","",46.909296,18.045821,,,0,50,,,,5
50_6,,"Siófok 6. hajóállás","",46.909453,18.045719,,,0,50,,,,6
50_7,,"Siófok 7. hajóállás","",46.90962,18.04558,,,0,50,,,,7
50_8,,"Siófok 8. hajóállás","",46.9099,18.045376,,,0,50,,,,8
50_9,,"Siófok 9/A. hajóállás","",46.910149,18.045186,,,0,50,,,,9
51,,"Balatonföldvár","",46.858142,17.879979,,,1,,,,,0
51_1,,"Balatonföldvár 1. hajóállás","",46.855472,17.880874,,,0,51,,,,1
51_2,,"Balatonföldvár 2. hajóállás","",46.855611,17.880731,,,0,51,,,,2
51_3,,"Balatonföldvár 3. hajóállás","",46.855806,17.880541,,,0,51,,,,3
51_4,,"Balatonföldvár 4. hajóállás","",46.855878,17.880478,,,0,51,,,,4
51_5,,"Balatonföldvár 5. hajóállás","",46.856013,17.880358,,,0,51,,,,5
52,,"Balatonszemes","",46.814381,17.767731,,,1,,,,,0
52_1,,"Balatonszemes 1. hajóállás","",46.814381,17.767731,,,0,52,,,,1
52_2,,"Balatonszemes 2. hajóállás","",46.81467,17.767513,,,0,52,,,,2
53,,"Balatonlelle","",46.792448,17.69115,,,1,,,,,0
53_1,,"Balatonlelle 1. hajóállás","",46.792448,17.69115,,,0,53,,,,1
53_2,,"Balatonlelle 2. hajóállás","",46.792705,17.690994,,,0,53,,,,2
54,,"Balatonboglár","",46.780812,17.648688,,,1,,,,,0
54_1,,"Balatonboglár 1. hajóállás","",46.780507,17.648607,,,0,54,,,,1
54_2,,"Balatonboglár 2. hajóállás","",46.780702,17.648376,,,0,54,,,,2
54_3,,"Balatonboglár 3. hajóállás","",46.780882,17.648183,,,0,54,,,,3
54_4,,"Balatonboglár 4. hajóállás","",46.781077,17.647968,,,0,54,,,,4
55,,"Fonyód","",46.750187,17.555563,,,1,,,,,0
55_1,,"Fonyód 1. hajóállás","",46.750069,17.555473,,,0,55,,,,1
55_2,,"Fonyód 2. hajóállás","",46.750194,17.555387,,,0,55,,,,2
55_3,,"Fonyód 3. hajóállás","",46.75034,17.55527,,,0,55,,,,3
55_4,,"Fonyód 4. hajóállás","",46.750466,17.555173,,,0,55,,,,4
55_5,,"Fonyód 5. hajóállás","",46.74984,17.5548,,,0,55,,,,5
56,,"Balatonmária","",46.706063,17.381813,,,1,,,,,0
56_1,,"Balatonmáriafürdő 1. hajóállás","",46.70622,17.381575,,,0,56,,,,1
56_2,,"Balatonmáriafürdő 2. hajóállás","",46.706591,17.381623,,,0,56,,,,2
57,,"Keszthely","",46.757898,17.256187,,,1,,,,,0
